COMPLETE,STOREDGRAINS,SPECIES,AUTHOR,YEAR,TITLE,JOURNAL,DOI,ABSENT.PRESENT.APRD,LOCALITY,TRUE/FALSE.APPROXIMATE LOCATION,LONG,LAT,CHEM.IRAC,CHEM.GROUP,CHEM.ACTIVE,STRAIN.TEST,STRAIN.REF,RESISTANCE,SEVERITY,METHOD,LC50.Y,LC50.UNIT,RES.RATIO,VOL.LITERS,ng.PER.IND,SLOPE,SURV.PROP,LARVAE.DENSITY,CROP.DAMAGED.PERCENT,LIFESTAGE,COLLECT.YEAR,CROP,TEMP,NOTES,CHECK.POINT,STATE,MECHANISM,COMMON.ACTIVES,point_id,REGION
NA,FALSE,Bemisia tabaci,Hopkinson,2019,Insecticide resistance status of Bemisia tabaci MEAM1 (Hemiptera: Aleyrodidae) in Australian cotton production valleys,Austral Entomology,10.1111/aen.12436,0,Narrabri,FALSE,149.7812,-30.3324,3A,"Pyrethroids, Pyrethrins",Bifenthrin,Narrabri,Susceptible 07,1,LOW,RR,15.7,mg AI/L,6.205533597,NA,NA,2.3,NA,NA,NA,Adult,2013,Cotton,25,NA,2020_04_14,NSW,NA,Alpha-cypermethrin; Bifenthrin; Lambda-cyhalothrin,1,North West NSW
NA,FALSE,Bemisia tabaci,Hopkinson,2019,Insecticide resistance status of Bemisia tabaci MEAM1 (Hemiptera: Aleyrodidae) in Australian cotton production valleys,Austral Entomology,10.1111/aen.12436,0,St George,FALSE,148.5816,-28.0385,3A,"Pyrethroids, Pyrethrins",Bifenthrin,St George,Susceptible 07,1,LOW,RR,16.15,mg AI/L,6.383399209,NA,NA,2.1,NA,NA,NA,Adult,2014,Cotton,25,NA,2020_04_14,QLD,para,Alpha-cypermethrin; Bifenthrin; Lambda-cyhalothrin,2,Maranoa Balonne and Border Rivers
NA,FALSE,Bemisia tabaci,Hopkinson,2019,Insecticide resistance status of Bemisia tabaci MEAM1 (Hemiptera: Aleyrodidae) in Australian cotton production valleys,Austral Entomology,10.1111/aen.12436,0,Narrabri,FALSE,149.7812,-30.3324,3A,"Pyrethroids, Pyrethrins",Bifenthrin,Narrabri,Susceptible 07,1,LOW,RR,14.66,mg AI/L,5.794466403,NA,NA,2.11,NA,NA,NA,Adult,2014,Cotton,25,NA,2020_04_14,NSW,NA,Alpha-cypermethrin; Bifenthrin; Lambda-cyhalothrin,3,North West NSW
NA,FALSE,Bemisia tabaci,Hopkinson,2019,Insecticide resistance status of Bemisia tabaci MEAM1 (Hemiptera: Aleyrodidae) in Australian cotton production valleys,Austral Entomology,10.1111/aen.12436,0,Emerald,FALSE,148.1646,-23.5273,3A,"Pyrethroids, Pyrethrins",Bifenthrin,Emerald,Susceptible 07,1,LOW,RR,12.92,mg AI/L,5.106719368,NA,NA,1.98,NA,NA,NA,Adult,2015,Cotton,25,NA,2020_04_14,QLD,para,Alpha-cypermethrin; Bifenthrin; Lambda-cyhalothrin,4,Fitzroy
NA,FALSE,Bemisia tabaci,Hopkinson,2019,Insecticide resistance status of Bemisia tabaci MEAM1 (Hemiptera: Aleyrodidae) in Australian cotton production valleys,Austral Entomology,10.1111/aen.12436,0,Griffith,FALSE,146.0455,-34.2801,3A,"Pyrethroids, Pyrethrins",Bifenthrin,Grifï¬th,Susceptible 07,1,LOW,RR,15.1,mg AI/L,5.968379447,NA,NA,1.98,NA,NA,NA,Adult,2015,Cotton,25,NA,2020_04_14,NSW,NA,Alpha-cypermethrin; Bifenthrin; Lambda-cyhalothrin,5,Riverina
NA,FALSE,Bemisia tabaci,Hopkinson,2019,Insecticide resistance status of Bemisia tabaci MEAM1 (Hemiptera: Aleyrodidae) in Australian cotton production valleys,Austral Entomology,10.1111/aen.12436,0,St George,FALSE,148.5816,-28.0385,7C,Pyriproxyfen,Pyriproxyfen,St Geroge,Susceptible 07,1,LOW,RR,0.17,mg AI/L,8.5,NA,NA,1,NA,NA,NA,Eggs,2017,Cotton,25,NA,2020_04_14,QLD,NA,Pyriproxyfen,6,Maranoa Balonne and Border Rivers
NA,FALSE,Bemisia tabaci,Hopkinson,2019,Insecticide resistance status of Bemisia tabaci MEAM1 (Hemiptera: Aleyrodidae) in Australian cotton production valleys,Austral Entomology,10.1111/aen.12436,0,Goondiwindi,FALSE,150.2983,-28.5387,7C,Pyriproxyfen,Pyriproxyfen,Goondiwindi,Susceptible 07,1,LOW,RR,0.13,mg AI/L,6.5,NA,NA,0.8,NA,NA,NA,Eggs,2017,Cotton,25,NA,2020_04_14,QLD,NA,Pyriproxyfen,7,Maranoa Balonne and Border Rivers
NA,FALSE,Bemisia tabaci,Hopkinson,2019,Insecticide resistance status of Bemisia tabaci MEAM1 (Hemiptera: Aleyrodidae) in Australian cotton production valleys,Austral Entomology,10.1111/aen.12436,0,Moree,FALSE,149.8339,-29.4658,7C,Pyriproxyfen,Pyriproxyfen,Moree,Susceptible 07,1,MODERATE,RR,0.65,mg AI/L,32.5,NA,NA,1.1,NA,NA,NA,Eggs,2017,Cotton,25,NA,2020_04_14,NSW,NA,Pyriproxyfen,8,North West NSW
NA,FALSE,Bemisia tabaci,Hopkinson,2019,Insecticide resistance status of Bemisia tabaci MEAM1 (Hemiptera: Aleyrodidae) in Australian cotton production valleys,Austral Entomology,10.1111/aen.12436,0,Narrabri,FALSE,149.7812,-30.3324,7C,Pyriproxyfen,Pyriproxyfen,Narrabri,Susceptible 07,1,MODERATE,RR,0.28,mg AI/L,14,NA,NA,1.1,NA,NA,NA,Eggs,2017,Cotton,25,NA,2020_04_14,NSW,NA,Pyriproxyfen,9,North West NSW
NA,FALSE,Bemisia tabaci,Hopkinson,2019,Insecticide resistance status of Bemisia tabaci MEAM1 (Hemiptera: Aleyrodidae) in Australian cotton production valleys,Austral Entomology,10.1111/aen.12436,0,Garah,FALSE,149.6258,-29.0605,7C,Pyriproxyfen,Pyriproxyfen,Garah,Susceptible 07,1,MODERATE,RR,0.95,mg AI/L,47.5,NA,NA,1,NA,NA,NA,Eggs,2017,Cotton,25,NA,2020_04_14,NSW,NA,Pyriproxyfen,10,North West NSW
