SPECIES,REGION,CHEM.IRAC,CHEM.GROUP
Halotydeus destructor,South West Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South West Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South Coast Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South Coast Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South Coast Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South Coast Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South Coast Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South Coast Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South Coast Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South Coast Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South Coast Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South Coast Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South Coast Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South Coast Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South Coast Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South East,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South East,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,Adelaide and Mount Lofty Ranges,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,Adelaide and Mount Lofty Ranges,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,Adelaide and Mount Lofty Ranges,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,Adelaide and Mount Lofty Ranges,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,Adelaide and Mount Lofty Ranges,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,Adelaide and Mount Lofty Ranges,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,Adelaide and Mount Lofty Ranges,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South East,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South West Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South Coast Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,Adelaide and Mount Lofty Ranges,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South West Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South West Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South Coast Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South Coast Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South Coast Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South Coast Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South West Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South Coast Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South Coast Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South Coast Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South Coast Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South Coast Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,Adelaide and Mount Lofty Ranges,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South Coast Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South Coast Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South Coast Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,Peel-Harvey Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South West Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South West Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South West Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South West Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,Peel-Harvey Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South West Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South West Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South Coast Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South Coast Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South Coast Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South Coast Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South Coast Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South Coast Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South Coast Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South Coast Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South Coast Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South Coast Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South Coast Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South Coast Region,3A,"Pyrethroids, Pyrethrins"
Halotydeus destructor,South Coast Region,3A,"Pyrethroids, Pyrethrins"
